City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Marawi,PH,2021-11-06 13:47:18,7.9986,124.2928,71.65,95,100,1.5
68,Bundaberg,AU,2021-11-06 13:47:18,-24.85,152.35,74.21,75,90,3.0
69,Kimbe,PG,2021-11-06 13:47:18,-5.5502,150.1429,76.84,87,49,3.11
70,Bogoslovka,RU,2021-11-06 13:47:19,53.2084,44.8013,47.61,69,100,20.47
71,Santa Cruz De Tenerife,ES,2021-11-06 13:47:19,28.4682,-16.2546,76.21,60,75,4.0
72,Christchurch,NZ,2021-11-06 13:47:20,-43.5333,172.6333,54.91,83,90,4.0
73,Yuli,NG,2021-11-06 13:47:20,9.6989,10.2744,97.63,24,100,4.7
74,Youkounkoun,GN,2021-11-06 13:47:21,12.5333,-13.1333,99.09,34,86,2.37
75,Busselton,AU,2021-11-06 13:47:21,-33.65,115.3333,50.09,74,0,12.62
76,Korla,CN,2021-11-06 13:47:22,41.7597,86.1469,29.05,38,0,4.81
77,Half Moon Bay,US,2021-11-06 13:47:22,37.4636,-122.4286,57.02,94,90,4.61
78,Bredasdorp,ZA,2021-11-06 13:47:22,-34.5322,20.0403,67.32,42,88,12.66
79,Placido De Castro,BR,2021-11-06 13:47:22,-10.3353,-67.1856,86.29,51,100,2.1
80,Barrow,US,2021-11-06 13:47:23,71.2906,-156.7887,19.42,93,75,11.5
81,Portland,US,2021-11-06 13:46:15,45.5234,-122.6762,49.21,93,90,1.99
82,Riyadh,SA,2021-11-06 13:43:22,24.6877,46.7219,89.74,17,1,7.58
83,Angoche,MZ,2021-11-06 13:47:23,-16.2325,39.9086,82.58,64,57,10.58
84,Hobart,AU,2021-11-06 13:47:24,-42.8794,147.3294,61.05,90,90,9.22
85,Clyde River,CA,2021-11-06 13:47:24,70.4692,-68.5914,19.63,79,40,5.75
86,Vaini,TO,2021-11-06 13:47:24,-21.2,-175.2,75.36,94,75,4.61
87,Muret,FR,2021-11-06 13:47:25,43.3333,1.25,52.79,71,9,4.0
88,Airai,TL,2021-11-06 13:47:25,-8.9266,125.4092,64.29,92,60,1.03
89,Gombong,ID,2021-11-06 13:47:25,-7.6072,109.5142,75.83,87,100,1.88
90,Kudahuvadhoo,MV,2021-11-06 13:47:26,2.6708,72.8944,82.6,72,98,15.28
91,Atuona,PF,2021-11-06 13:47:26,-9.8,-139.0333,78.17,71,83,20.78
92,Port Elizabeth,ZA,2021-11-06 13:48:26,-33.918,25.5701,66.09,77,90,4.61
93,Belmonte,BR,2021-11-06 13:48:27,-15.8631,-38.8828,81.1,87,88,8.08
94,Bethel,US,2021-11-06 13:48:28,41.3712,-73.414,46.65,75,0,2.82
95,Dayong,CN,2021-11-06 13:48:29,25.0209,118.2898,75.88,93,79,2.42
96,Sorland,NO,2021-11-06 13:48:29,67.667,12.6934,41.07,72,100,29.73
97,Los Planes,HN,2021-11-06 13:48:30,14.05,-88.0167,57.34,82,83,8.43
98,Port-Gentil,GA,2021-11-06 13:48:30,-0.7193,8.7815,84.16,74,40,14.97
99,Kaitangata,NZ,2021-11-06 13:48:31,-46.2817,169.8464,50.94,73,78,4.5
100,Saly,HU,2021-11-06 13:48:31,47.95,20.6667,51.01,60,43,2.59
101,Geraldton,AU,2021-11-06 13:48:31,-28.7667,114.6,63.01,72,40,18.41
102,Itapetininga,BR,2021-11-06 13:48:31,-23.5917,-48.0531,81.72,41,94,6.91
103,Asau,RO,2021-11-06 13:48:32,46.4333,26.4,55.4,51,100,0.38
104,Nanortalik,GL,2021-11-06 13:48:32,60.1432,-45.2371,34.02,71,100,10.4
105,Hasaki,JP,2021-11-06 13:48:33,35.7333,140.8333,54.28,60,100,9.93
106,Inuvik,CA,2021-11-06 13:48:33,68.3499,-133.7218,18.36,89,90,6.91
107,Leningradskiy,RU,2021-11-06 13:48:33,69.3833,178.4167,-12.51,88,2,5.46
108,Pisco,PE,2021-11-06 13:48:34,-13.7,-76.2167,66.02,82,90,4.61
109,Pangnirtung,CA,2021-11-06 13:48:34,66.1451,-65.7125,14.23,59,14,11.52
110,Fare,PF,2021-11-06 13:48:35,-16.7,-151.0167,77.92,76,44,6.11
111,Dawei,MM,2021-11-06 13:48:36,14.0833,98.2,77.99,91,100,2.89
112,Dauriya,RU,2021-11-06 13:48:36,49.9333,116.8667,16.23,43,0,10.16
113,Taltal,CL,2021-11-06 13:48:37,-25.4,-70.4833,65.93,64,0,6.98
114,Mitsamiouli,KM,2021-11-06 13:48:37,-11.3847,43.2844,84.49,70,75,5.75
115,Colon,PA,2021-11-06 13:48:37,9.3592,-79.9014,86.23,82,99,1.86
116,Kefamenanu,ID,2021-11-06 13:48:38,-9.4467,124.4781,76.26,89,99,1.45
117,Katsuura,JP,2021-11-06 13:48:38,35.1333,140.3,61.2,71,100,10.25
118,Berlevag,NO,2021-11-06 13:48:38,70.8578,29.0864,35.01,71,100,24.85
119,Hithadhoo,MV,2021-11-06 13:48:39,-0.6,73.0833,81.84,75,100,13.2
