City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yaan,NG,7.3833,8.5667,74.28,91,100,4.97,light rain
80,Upernavik,GL,72.7868,-56.1549,14.72,84,95,10.13,overcast clouds
81,Abu Kamal,SY,34.4506,40.9171,63.73,43,0,3.67,clear sky
82,Cabo San Lucas,MX,22.8909,-109.9124,79.52,55,29,6.8,scattered clouds
83,Mafinga,TZ,-7.25,35.0667,70.27,51,97,3.83,overcast clouds
84,Forio,IT,40.7342,13.8646,63.25,77,99,16.73,overcast clouds
85,Portland,US,45.5234,-122.6762,44.64,92,90,1.01,overcast clouds
86,Aklavik,CA,68.2191,-135.0107,14.83,97,86,0.74,overcast clouds
87,Bredasdorp,ZA,-34.5322,20.0403,51.12,87,50,3.44,scattered clouds
88,Hami,CN,42.8,93.45,28.6,26,0,2.73,clear sky
89,East London,ZA,-33.0153,27.9116,64.2,90,100,1.61,light rain
90,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.33,99,100,1.77,overcast clouds
91,Kitimat,CA,54.0524,-128.6534,39.58,28,100,2.04,overcast clouds
92,Yellowknife,CA,62.456,-114.3525,30.42,89,90,8.05,overcast clouds
93,Atuona,PF,-9.8,-139.0333,78.06,72,4,14.9,clear sky
94,Port Hedland,AU,-20.3167,118.5667,84.25,65,40,13.8,scattered clouds
95,Khatanga,RU,71.9667,102.5,9.01,89,100,5.5,overcast clouds
96,Hay River,CA,60.8156,-115.7999,30.18,93,75,4.61,light snow
97,Akureyri,IS,65.6835,-18.0878,33.73,93,90,4.61,light rain
98,Puerto El Triunfo,SV,13.2833,-88.55,83.32,73,82,7.0,broken clouds
99,Saskylakh,RU,71.9167,114.0833,-3.42,99,37,6.78,scattered clouds
100,Oranjemund,NA,-28.55,16.4333,57.52,83,81,12.57,broken clouds
101,Denpasar,ID,-8.65,115.2167,87.46,74,20,6.91,few clouds
102,Evensk,RU,61.95,159.2333,33.82,94,100,17.34,light rain
103,Piacabucu,BR,-10.4056,-36.4344,77.77,88,100,10.2,overcast clouds
104,Pevek,RU,69.7008,170.3133,7.47,75,100,15.1,overcast clouds
105,Cherskiy,RU,68.75,161.3,17.58,95,100,8.34,light snow
106,Mackenzie,CA,55.2999,-123.1698,32.22,93,90,0.0,overcast clouds
107,Nicoya,CR,10.1483,-85.452,74.75,93,99,2.66,overcast clouds
108,Amahai,ID,-3.3333,128.9167,86.83,64,100,2.26,overcast clouds
109,Dikson,RU,73.5069,80.5464,16.52,95,100,4.5,overcast clouds
110,Husavik,IS,66.0449,-17.3389,33.71,99,100,7.7,light rain
111,Avarua,CK,-21.2078,-159.775,75.25,73,42,12.66,scattered clouds
112,Cidreira,BR,-30.1811,-50.2056,64.09,68,99,9.4,overcast clouds
113,Yumen,CN,40.2833,97.2,21.76,27,0,3.02,clear sky
114,Arraial Do Cabo,BR,-22.9661,-42.0278,68.76,73,17,1.43,few clouds
115,Thompson,CA,55.7435,-97.8558,30.36,100,90,0.0,light snow
116,Yulara,AU,-25.2406,130.9889,73.24,68,75,11.5,broken clouds
117,Kodinsk,RU,58.6881,99.1844,23.72,86,99,10.63,overcast clouds
118,San Patricio,US,28.017,-97.5169,64.24,63,0,6.96,clear sky
119,Gweru,ZW,-19.45,29.8167,66.99,40,11,6.24,few clouds
120,Hinton,CA,53.4001,-117.5857,28.44,63,32,3.78,scattered clouds
121,Rawson,AR,-43.3002,-65.1023,67.51,28,94,26.35,overcast clouds
122,Esil,KZ,51.9556,66.4042,28.96,25,98,14.99,overcast clouds
123,Manaure,CO,11.7751,-72.4445,81.82,77,61,16.04,broken clouds
124,Chokurdakh,RU,70.6333,147.9167,-9.22,99,49,7.47,scattered clouds
125,San Vicente,AR,-26.6167,-54.1333,62.19,94,73,4.83,broken clouds
126,Hobyo,SO,5.3505,48.5268,79.21,67,30,6.08,scattered clouds
127,Corund,RO,46.4667,25.1833,42.87,81,99,2.3,overcast clouds
128,Bethel,US,41.3712,-73.414,39.9,81,1,0.0,clear sky
129,Souillac,MU,-20.5167,57.5167,79.36,78,40,10.36,scattered clouds
130,Kodiak,US,57.79,-152.4072,31.44,68,7,9.37,clear sky
131,Mount Isa,AU,-20.7333,139.5,76.77,78,90,11.5,overcast clouds
132,Christchurch,NZ,-43.5333,172.6333,61.0,79,90,11.01,overcast clouds
133,Primorsk,UA,46.7348,36.3443,45.99,73,45,8.16,scattered clouds
134,Davod,HU,45.995,18.9172,45.86,85,93,5.03,overcast clouds
135,Provideniya,RU,64.3833,-173.3,21.61,88,99,9.89,overcast clouds
136,Chester,US,40.1254,-75.8749,41.52,82,1,1.01,clear sky
137,Bluff,NZ,-46.6,168.3333,60.8,81,99,13.56,overcast clouds
138,Gravdal,NO,68.1214,13.5031,41.31,71,87,6.71,overcast clouds
139,Nouakchott,MR,18.0858,-15.9785,73.33,61,1,13.18,clear sky
140,Kahului,US,20.8947,-156.47,80.62,70,1,23.02,clear sky
141,Alamosa,US,37.4695,-105.87,49.51,36,1,12.66,clear sky
142,Port-Gentil,GA,-0.7193,8.7815,78.6,86,100,9.8,light rain
143,Lamu,KE,-2.2717,40.902,73.62,79,24,7.23,few clouds
144,Vila Velha,BR,-20.3297,-40.2925,71.94,89,75,1.01,broken clouds
145,Guerrero Negro,MX,27.9769,-114.0611,66.33,85,60,10.76,broken clouds
146,Fergus Falls,US,46.283,-96.0776,51.78,61,1,9.22,clear sky
147,Antofagasta,CL,-23.65,-70.4,61.88,77,43,6.2,scattered clouds
148,Ponta Do Sol,PT,32.6667,-17.1,67.71,61,21,8.59,few clouds
149,Hearst,CA,49.6835,-83.6665,44.85,87,100,6.91,overcast clouds
150,Wajir,KE,1.7471,40.0573,75.81,73,5,13.24,clear sky
151,Kemijarvi,FI,66.7131,27.4306,29.25,85,100,11.88,overcast clouds
152,Saint-Philippe,RE,-21.3585,55.7679,80.47,82,34,9.69,scattered clouds
153,Anamur,TR,36.0751,32.8369,53.62,35,0,7.38,clear sky
154,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,40,10.36,scattered clouds
155,La Ronge,CA,55.1001,-105.2842,37.65,93,75,4.61,broken clouds
156,Pecos,US,31.4229,-103.4932,66.31,47,1,4.61,clear sky
157,Tukrah,LY,32.5341,20.5791,71.44,49,100,2.06,overcast clouds
158,Hirara,JP,24.8,125.2833,82.26,69,20,12.66,few clouds
159,Shaunavon,CA,49.6501,-108.4181,37.18,47,100,4.27,overcast clouds
160,Saint-Joseph,RE,-21.3667,55.6167,79.47,78,18,9.91,few clouds
161,Nikolskoye,RU,59.7035,30.7861,40.87,85,50,7.78,light rain
162,Kaitangata,NZ,-46.2817,169.8464,58.93,71,100,7.87,overcast clouds
163,Lebu,CL,-37.6167,-73.65,51.8,89,22,15.21,few clouds
164,Meulaboh,ID,4.1363,96.1285,79.83,86,100,9.73,light rain
165,Taoudenni,ML,22.6783,-3.9836,73.74,20,0,4.07,clear sky
166,Kaspiyskiy,RU,45.3929,47.3707,49.46,77,100,14.61,overcast clouds
167,Kaz,RU,52.9113,87.3105,25.12,73,94,3.36,overcast clouds
168,Iqaluit,CA,63.7506,-68.5145,20.93,73,40,8.01,scattered clouds
169,Boddam,GB,57.4667,-1.7833,47.08,72,29,41.96,scattered clouds
170,Carmen,MX,18.6333,-91.8333,77.41,63,85,12.17,overcast clouds
171,Plavsk,RU,53.7094,37.2919,44.6,78,100,17.83,light rain
172,Laguna,US,38.421,-121.4238,59.5,84,90,3.44,overcast clouds
173,Lasa,IT,46.6166,10.7002,32.88,56,0,2.98,clear sky
174,Luganville,VU,-15.5333,167.1667,80.82,79,100,4.21,overcast clouds
175,Barrow,US,71.2906,-156.7887,14.02,85,1,9.22,clear sky
176,Fort Nelson,CA,58.8053,-122.7002,29.79,100,90,6.91,light snow
177,Clyde River,CA,70.4692,-68.5914,6.96,87,46,4.79,scattered clouds
178,Sorland,NO,67.667,12.6934,41.45,72,98,10.31,overcast clouds
179,Saldanha,ZA,-33.0117,17.9442,53.65,69,100,16.44,overcast clouds
180,Paka,MY,4.6374,103.4368,85.39,71,97,2.08,overcast clouds
181,Derzhavinsk,KZ,51.1,66.3167,26.64,26,44,13.33,scattered clouds
182,Sychevka,RU,55.8252,34.2736,38.39,78,39,13.06,scattered clouds
183,Huarmey,PE,-10.0681,-78.1522,65.57,84,72,8.19,broken clouds
184,Klaksvik,FO,62.2266,-6.589,47.32,94,100,33.76,overcast clouds
185,Bagdarin,RU,54.4333,113.6,16.75,52,100,2.71,overcast clouds
186,Canmore,CA,51.0834,-115.3521,32.11,86,27,5.75,scattered clouds
187,Araouane,ML,18.9048,-3.5265,81.41,19,89,9.04,overcast clouds
188,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.4,75,75,17.27,broken clouds
189,Almaznyy,RU,48.0448,40.045,41.14,86,28,8.32,scattered clouds
